ID,Client_ID,Car_ID,Start_Date,End_Date,Total_Cost
1,1,1,2022-01-10,2022-01-20,567.89
2,2,2,2022-02-12,2022-02-22,678.90
3,3,3,2022-03-15,2022-03-25,789.01
4,4,4,2022-04-18,2022-04-28,890.12
5,5,5,2022-05-21,2022-05-31,901.23
6,6,6,2022-06-24,2022-07-04,912.34
7,7,7,2022-07-27,2022-08-06,923.45
8,8,8,2022-08-30,2022-09-09,934.56
9,9,9,2022-10-03,2022-10-13,945.67
10,10,10,2022-11-06,2022-11-16,956.78
11,11,11,2022-12-10,2022-12-20,967.89
12,12,12,2023-01-13,2023-01-23,978.90
13,13,13,2023-02-16,2023-02-26,989.01
14,14,14,2023-03-21,2023-03-31,1000.12
15,15,15,2023-04-24,2023-05-04,1011.23
16,16,16,2023-05-28,2023-06-07,1022.34
17,17,17,2023-07-01,2023-07-11,1033.45
18,18,18,2023-08-04,2023-08-14,1044.56
19,19,19,2023-09-07,2023-09-17,1055.67
20,20,20,2023-10-11,2023-10-21,1066.78
21,21,21,2023-11-14,2023-11-24,1077.89
22,22,22,2023-12-18,2023-12-28,1088.90
23,23,23,2024-01-21,2024-01-31,1099.01
24,24,24,2024-02-24,2024-03-05,1110.12
25,25,25,2024-03-29,2024-04-08,1121.23
26,26,26,2024-05-02,2024-05-12,1132.34
27,27,27,2024-06-05,2024-06-15,1143.45
28,28,28,2024-07-09,2024-07-19,1154.56
29,29,29,2024-08-12,2024-08-22,1165.67
30,30,30,2024-09-15,2024-09-25,1176.78
